police_district,analysis_neighborhood,month,incident_count,normalized_incidents,month_encoded,cluster
BAYVIEW,Bayview Hunters Point,2023-01,47,-0.15076731508002342,1,2
BAYVIEW,Bayview Hunters Point,2023-02,75,-0.07994265332276931,2,3
BAYVIEW,Bayview Hunters Point,2023-03,64,-0.1077666275845477,3,3
BAYVIEW,Bayview Hunters Point,2023-04,79,-0.06982484450030443,4,3
BAYVIEW,Bayview Hunters Point,2023-05,80,-0.06729539229468823,5,3
BAYVIEW,Bayview Hunters Point,2023-06,90,-0.04200087023852604,6,1
BAYVIEW,Bayview Hunters Point,2023-07,91,-0.03947141803290982,7,1
BAYVIEW,Bayview Hunters Point,2023-08,89,-0.04453032244414226,8,1
BAYVIEW,Bayview Hunters Point,2023-09,102,-0.011647443771131426,9,1
BAYVIEW,Bayview Hunters Point,2023-10,93,-0.03441251362167739,10,1
BAYVIEW,Bayview Hunters Point,2023-11,84,-0.05717758347222335,11,1
BAYVIEW,Bayview Hunters Point,2023-12,77,-0.07488374891153687,12,3
BAYVIEW,Bernal Heights,2023-01,0,-0.26965156874398566,1,0
BAYVIEW,Bernal Heights,2023-02,0,-0.26965156874398566,2,0
BAYVIEW,Bernal Heights,2023-03,0,-0.26965156874398566,3,0
BAYVIEW,Bernal Heights,2023-04,0,-0.26965156874398566,4,0
BAYVIEW,Bernal Heights,2023-05,0,-0.26965156874398566,5,0
BAYVIEW,Bernal Heights,2023-06,0,-0.26965156874398566,6,0
BAYVIEW,Bernal Heights,2023-07,0,-0.26965156874398566,7,0
BAYVIEW,Bernal Heights,2023-08,0,-0.26965156874398566,8,0
BAYVIEW,Bernal Heights,2023-09,1,-0.2671221165383694,9,0
BAYVIEW,Bernal Heights,2023-10,0,-0.26965156874398566,10,0
BAYVIEW,Bernal Heights,2023-11,0,-0.26965156874398566,11,0
BAYVIEW,Bernal Heights,2023-12,0,-0.26965156874398566,12,0
BAYVIEW,Excelsior,2023-01,5,-0.25700430771590455,1,0
BAYVIEW,Excelsior,2023-02,7,-0.25194540330467213,2,0
BAYVIEW,Excelsior,2023-03,8,-0.2494159510990559,3,0
BAYVIEW,Excelsior,2023-04,9,-0.2468864988934397,4,4
BAYVIEW,Excelsior,2023-05,8,-0.2494159510990559,5,0
BAYVIEW,Excelsior,2023-06,7,-0.25194540330467213,6,0
BAYVIEW,Excelsior,2023-07,6,-0.25447485551028837,7,0
BAYVIEW,Excelsior,2023-08,2,-0.26459266433275325,8,0
BAYVIEW,Excelsior,2023-09,4,-0.2595337599215208,9,0
BAYVIEW,Excelsior,2023-10,11,-0.24182759448220725,10,4
BAYVIEW,Excelsior,2023-11,15,-0.23170978565974237,11,4
BAYVIEW,Excelsior,2023-12,11,-0.24182759448220725,12,4
BAYVIEW,McLaren Park,2023-01,7,-0.25194540330467213,1,0
BAYVIEW,McLaren Park,2023-02,8,-0.2494159510990559,2,0
BAYVIEW,McLaren Park,2023-03,8,-0.2494159510990559,3,0
BAYVIEW,McLaren Park,2023-04,4,-0.2595337599215208,4,0
BAYVIEW,McLaren Park,2023-05,5,-0.25700430771590455,5,0
BAYVIEW,McLaren Park,2023-06,8,-0.2494159510990559,6,0
BAYVIEW,McLaren Park,2023-07,10,-0.2443570466878235,7,4
BAYVIEW,McLaren Park,2023-08,6,-0.25447485551028837,8,0
BAYVIEW,McLaren Park,2023-09,11,-0.24182759448220725,9,4
BAYVIEW,McLaren Park,2023-10,6,-0.25447485551028837,10,0
BAYVIEW,McLaren Park,2023-11,1,-0.2671221165383694,11,0
BAYVIEW,McLaren Park,2023-12,19,-0.22159197683727752,12,4
BAYVIEW,Portola,2023-01,28,-0.19882690698673156,1,2
BAYVIEW,Portola,2023-02,27,-0.20135635919234776,2,2
BAYVIEW,Portola,2023-03,31,-0.1912385503698829,3,2
BAYVIEW,Portola,2023-04,34,-0.18365019375303424,4,2
BAYVIEW,Portola,2023-05,20,-0.2190625246316613,5,4
BAYVIEW,Portola,2023-06,16,-0.22918033345412617,6,4
BAYVIEW,Portola,2023-07,27,-0.20135635919234776,7,2
BAYVIEW,Portola,2023-08,31,-0.1912385503698829,8,2
BAYVIEW,Portola,2023-09,34,-0.18365019375303424,9,2
BAYVIEW,Portola,2023-10,29,-0.19629745478111535,10,2
