police_district,analysis_neighborhood,average_response_time,incident_count
BAYVIEW,Bayview Hunters Point,24.516648065476193,971
BAYVIEW,Bernal Heights,5.85,1
BAYVIEW,Excelsior,74.8586854460094,93
BAYVIEW,McLaren Park,106.86478873239436,93
BAYVIEW,Portola,37.623222222222225,339
BAYVIEW,Potrero Hill,54.10833333333333,48
CENTRAL,Chinatown,36.37645502645503,69
CENTRAL,Financial District/South Beach,42.40121477162293,770
CENTRAL,Nob Hill,71.80547263681592,81
CENTRAL,North Beach,33.430985915492954,83
CENTRAL,Russian Hill,60.827880658436214,1895
CENTRAL,Tenderloin,132.7972555658151,3715
INGLESIDE,Bayview Hunters Point,11.433333333333334,1
INGLESIDE,Bernal Heights,224.55242616033755,379
INGLESIDE,Excelsior,72.45848406546081,527
INGLESIDE,Glen Park,95.95151515151515,22
INGLESIDE,McLaren Park,27.253312629399588,333
INGLESIDE,Noe Valley,78.14447077409163,276
INGLESIDE,Oceanview/Merced/Ingleside,48.20333333333333,22
INGLESIDE,Outer Mission,79.64596412556054,259
INGLESIDE,Portola,22.62716894977169,80
INGLESIDE,Twin Peaks,221.35,1
INGLESIDE,Visitacion Valley,64.9431623931624,47
INGLESIDE,West of Twin Peaks,40.54482758620689,32
MISSION,Bernal Heights,495.48333333333335,1
MISSION,Castro/Upper Market,33.26455696202532,85
MISSION,Mission,133.14258756900819,8017
MISSION,Noe Valley,86.95357142857142,40
MISSION,Twin Peaks,22.916666666666668,1
NORTHERN,Haight Ashbury,39.19,7
NORTHERN,Hayes Valley,322.4587351945855,970
NORTHERN,Japantown,16.11984126984127,28
NORTHERN,Marina,93.69019204389575,564
NORTHERN,Nob Hill,113.51247211066487,930
NORTHERN,Pacific Heights,94.37214397496088,237
NORTHERN,Presidio,6.6,2
NORTHERN,Russian Hill,87.90742063492064,977
NORTHERN,Tenderloin,92.36073417433799,6584
NORTHERN,Western Addition,102.64688028764806,3520
PARK,Castro/Upper Market,24.316666666666666,34
PARK,Golden Gate Park,5.261393596986817,365
PARK,Haight Ashbury,34.29106672215286,2929
PARK,Hayes Valley,41.009523809523806,10
PARK,Inner Sunset,35.015291868842816,2745
PARK,Lone Mountain/USF,54.069884309472165,1178
PARK,Twin Peaks,7.051666666666667,42
PARK,West of Twin Peaks,25.691666666666666,2
PARK,Western Addition,55.97668539325843,220
RICHMOND,Golden Gate Park,11.50395778364116,788
RICHMOND,Inner Richmond,40.37416344916345,654
RICHMOND,Japantown,51.9906432748538,76
RICHMOND,Lincoln Park,7.112500000000001,8
RICHMOND,Lone Mountain/USF,28.912204340404777,1524
RICHMOND,Outer Richmond,41.577186761229314,177
RICHMOND,Pacific Heights,27.314285714285713,10
RICHMOND,Presidio Heights,30.38854166666667,37
RICHMOND,Seacliff,51.025618374558306,703
SOUTHERN,Financial District/South Beach,46.46907407407407,107
SOUTHERN,Hayes Valley,109.86001371742113,280
SOUTHERN,Mission,494.14518413597733,417
SOUTHERN,Mission Bay,140.2795617816092,1042
SOUTHERN,Potrero Hill,13.91,5
SOUTHERN,South of Market,190.09297924297923,300
SOUTHERN,Treasure Island,22.13888888888889,12
TARAVAL,Golden Gate Park,47.928048180924286,846
TARAVAL,Inner Sunset,46.06902912621359,3012
TARAVAL,Lakeshore,68.35210355987054,120
TARAVAL,Oceanview/Merced/Ingleside,75.91746773475745,947
TARAVAL,Outer Mission,15.516666666666667,2
TARAVAL,Sunset/Parkside,55.67606654419269,1805
TARAVAL,West of Twin Peaks,54.57267561983471,1068
TENDERLOIN,Financial District/South Beach,36.49690499834492,1068
TENDERLOIN,South of Market,71.47127659574468,100
TENDERLOIN,Tenderloin,86.93367145636056,39932
