police_district,analysis_neighborhood,time_of_day,incident_count,normalized_incidents,cluster
BAYVIEW,Bayview Hunters Point,0,18,-0.21780823987136755,0
BAYVIEW,Bayview Hunters Point,1,14,-0.23528174973381066,0
BAYVIEW,Bayview Hunters Point,2,29,-0.16975608774964898,0
BAYVIEW,Bayview Hunters Point,3,12,-0.24401850466503222,0
BAYVIEW,Bayview Hunters Point,4,33,-0.15228257788720587,0
BAYVIEW,Bayview Hunters Point,5,23,-0.19596635254331365,0
BAYVIEW,Bayview Hunters Point,6,37,-0.13480906802476275,0
BAYVIEW,Bayview Hunters Point,7,30,-0.1653877102840382,0
BAYVIEW,Bayview Hunters Point,8,47,-0.09112529336865496,0
BAYVIEW,Bayview Hunters Point,9,48,-0.08675691590304418,0
BAYVIEW,Bayview Hunters Point,10,48,-0.08675691590304418,0
BAYVIEW,Bayview Hunters Point,11,52,-0.06928340604060107,0
BAYVIEW,Bayview Hunters Point,12,83,0.06613629539333309,4
BAYVIEW,Bayview Hunters Point,13,52,-0.06928340604060107,0
BAYVIEW,Bayview Hunters Point,14,47,-0.09112529336865496,0
BAYVIEW,Bayview Hunters Point,15,44,-0.1042304257654873,0
BAYVIEW,Bayview Hunters Point,16,57,-0.04744151871254717,0
BAYVIEW,Bayview Hunters Point,17,56,-0.05180989617815795,0
BAYVIEW,Bayview Hunters Point,18,48,-0.08675691590304418,0
BAYVIEW,Bayview Hunters Point,19,49,-0.0823885384374334,0
BAYVIEW,Bayview Hunters Point,20,41,-0.11733555816231964,0
BAYVIEW,Bayview Hunters Point,21,36,-0.13917744549037353,0
BAYVIEW,Bayview Hunters Point,22,36,-0.13917744549037353,0
BAYVIEW,Bayview Hunters Point,23,31,-0.16101933281842742,0
BAYVIEW,Bernal Heights,16,1,-0.2920706567867508,0
BAYVIEW,Excelsior,0,1,-0.2920706567867508,0
BAYVIEW,Excelsior,1,1,-0.2920706567867508,0
BAYVIEW,Excelsior,2,4,-0.27896552438991845,0
BAYVIEW,Excelsior,4,1,-0.2920706567867508,0
BAYVIEW,Excelsior,5,1,-0.2920706567867508,0
BAYVIEW,Excelsior,7,1,-0.2920706567867508,0
BAYVIEW,Excelsior,8,10,-0.2527552595962538,0
BAYVIEW,Excelsior,9,25,-0.1872295976120921,0
BAYVIEW,Excelsior,10,1,-0.2920706567867508,0
BAYVIEW,Excelsior,11,9,-0.2571236370618646,0
BAYVIEW,Excelsior,12,6,-0.2702287694586969,0
BAYVIEW,Excelsior,13,3,-0.28333390185552926,0
BAYVIEW,Excelsior,14,3,-0.28333390185552926,0
BAYVIEW,Excelsior,15,7,-0.26586039199308614,0
BAYVIEW,Excelsior,16,6,-0.2702287694586969,0
BAYVIEW,Excelsior,17,4,-0.27896552438991845,0
BAYVIEW,Excelsior,18,3,-0.28333390185552926,0
BAYVIEW,Excelsior,20,1,-0.2920706567867508,0
BAYVIEW,Excelsior,21,4,-0.27896552438991845,0
BAYVIEW,Excelsior,22,2,-0.28770227932114,0
BAYVIEW,McLaren Park,0,6,-0.2702287694586969,0
BAYVIEW,McLaren Park,1,2,-0.28770227932114,0
BAYVIEW,McLaren Park,3,3,-0.28333390185552926,0
BAYVIEW,McLaren Park,5,4,-0.27896552438991845,0
BAYVIEW,McLaren Park,6,6,-0.2702287694586969,0
BAYVIEW,McLaren Park,7,2,-0.28770227932114,0
BAYVIEW,McLaren Park,8,3,-0.28333390185552926,0
BAYVIEW,McLaren Park,9,5,-0.2745971469243077,0
BAYVIEW,McLaren Park,10,1,-0.2920706567867508,0
BAYVIEW,McLaren Park,11,6,-0.2702287694586969,0
BAYVIEW,McLaren Park,12,5,-0.2745971469243077,0
BAYVIEW,McLaren Park,13,8,-0.26149201452747534,0
BAYVIEW,McLaren Park,14,3,-0.28333390185552926,0
BAYVIEW,McLaren Park,15,8,-0.26149201452747534,0
BAYVIEW,McLaren Park,16,6,-0.2702287694586969,0
BAYVIEW,McLaren Park,17,1,-0.2920706567867508,0
BAYVIEW,McLaren Park,18,3,-0.28333390185552926,0
BAYVIEW,McLaren Park,19,4,-0.27896552438991845,0
BAYVIEW,McLaren Park,20,4,-0.27896552438991845,0
BAYVIEW,McLaren Park,21,7,-0.26586039199308614,0
BAYVIEW,McLaren Park,22,2,-0.28770227932114,0
BAYVIEW,McLaren Park,23,4,-0.27896552438991845,0
BAYVIEW,Portola,0,8,-0.26149201452747534,0
BAYVIEW,Portola,1,11,-0.248386882130643,0
BAYVIEW,Portola,2,10,-0.2527552595962538,0
BAYVIEW,Portola,3,14,-0.23528174973381066,0
BAYVIEW,Portola,4,10,-0.2527552595962538,0
BAYVIEW,Portola,5,6,-0.2702287694586969,0
BAYVIEW,Portola,6,11,-0.248386882130643,0
BAYVIEW,Portola,7,12,-0.24401850466503222,0
BAYVIEW,Portola,8,14,-0.23528174973381066,0
BAYVIEW,Portola,9,26,-0.18286122014648132,0
BAYVIEW,Portola,10,20,-0.209071484940146,0
BAYVIEW,Portola,11,20,-0.209071484940146,0
BAYVIEW,Portola,12,14,-0.23528174973381066,0
BAYVIEW,Portola,13,19,-0.21343986240575677,0
BAYVIEW,Portola,14,10,-0.2527552595962538,0
BAYVIEW,Portola,15,17,-0.22217661733697833,0
BAYVIEW,Portola,16,15,-0.23091337226819988,0
BAYVIEW,Portola,17,11,-0.248386882130643,0
BAYVIEW,Portola,18,23,-0.19596635254331365,0
BAYVIEW,Portola,19,19,-0.21343986240575677,0
BAYVIEW,Portola,20,18,-0.21780823987136755,0
BAYVIEW,Portola,21,10,-0.2527552595962538,0
BAYVIEW,Portola,22,9,-0.2571236370618646,0
BAYVIEW,Portola,23,12,-0.24401850466503222,0
BAYVIEW,Potrero Hill,0,1,-0.2920706567867508,0
BAYVIEW,Potrero Hill,1,2,-0.28770227932114,0
BAYVIEW,Potrero Hill,3,1,-0.2920706567867508,0
BAYVIEW,Potrero Hill,4,1,-0.2920706567867508,0
BAYVIEW,Potrero Hill,5,1,-0.2920706567867508,0
BAYVIEW,Potrero Hill,7,3,-0.28333390185552926,0
BAYVIEW,Potrero Hill,8,2,-0.28770227932114,0
BAYVIEW,Potrero Hill,9,5,-0.2745971469243077,0
BAYVIEW,Potrero Hill,10,2,-0.28770227932114,0
BAYVIEW,Potrero Hill,11,2,-0.28770227932114,0
BAYVIEW,Potrero Hill,12,2,-0.28770227932114,0
BAYVIEW,Potrero Hill,14,5,-0.2745971469243077,0
BAYVIEW,Potrero Hill,15,3,-0.28333390185552926,0
BAYVIEW,Potrero Hill,16,4,-0.27896552438991845,0
BAYVIEW,Potrero Hill,17,3,-0.28333390185552926,0
BAYVIEW,Potrero Hill,18,1,-0.2920706567867508,0
BAYVIEW,Potrero Hill,19,5,-0.2745971469243077,0
BAYVIEW,Potrero Hill,20,3,-0.28333390185552926,0
BAYVIEW,Potrero Hill,22,1,-0.2920706567867508,0
BAYVIEW,Potrero Hill,23,1,-0.2920706567867508,0
CENTRAL,Chinatown,0,7,-0.26586039199308614,0
CENTRAL,Chinatown,1,2,-0.28770227932114,0
CENTRAL,Chinatown,2,1,-0.2920706567867508,0
CENTRAL,Chinatown,5,1,-0.2920706567867508,0
CENTRAL,Chinatown,7,3,-0.28333390185552926,0
CENTRAL,Chinatown,9,3,-0.28333390185552926,0
CENTRAL,Chinatown,10,2,-0.28770227932114,0
CENTRAL,Chinatown,11,3,-0.28333390185552926,0
CENTRAL,Chinatown,12,5,-0.2745971469243077,0
CENTRAL,Chinatown,13,1,-0.2920706567867508,0
CENTRAL,Chinatown,14,3,-0.28333390185552926,0
CENTRAL,Chinatown,15,8,-0.26149201452747534,0
CENTRAL,Chinatown,16,2,-0.28770227932114,0
CENTRAL,Chinatown,17,4,-0.27896552438991845,0
CENTRAL,Chinatown,18,4,-0.27896552438991845,0
CENTRAL,Chinatown,19,4,-0.27896552438991845,0
CENTRAL,Chinatown,20,2,-0.28770227932114,0
CENTRAL,Chinatown,21,3,-0.28333390185552926,0
CENTRAL,Chinatown,22,5,-0.2745971469243077,0
CENTRAL,Chinatown,23,6,-0.2702287694586969,0
CENTRAL,Financial District/South Beach,0,18,-0.21780823987136755,0
CENTRAL,Financial District/South Beach,1,23,-0.19596635254331365,0
CENTRAL,Financial District/South Beach,2,7,-0.26586039199308614,0
CENTRAL,Financial District/South Beach,3,10,-0.2527552595962538,0
CENTRAL,Financial District/South Beach,4,20,-0.209071484940146,0
CENTRAL,Financial District/South Beach,5,15,-0.23091337226819988,0
CENTRAL,Financial District/South Beach,6,21,-0.2047031074745352,0
CENTRAL,Financial District/South Beach,7,45,-0.09986204829987652,0
CENTRAL,Financial District/South Beach,8,41,-0.11733555816231964,0
CENTRAL,Financial District/South Beach,9,53,-0.06491502857499029,0
CENTRAL,Financial District/South Beach,10,33,-0.15228257788720587,0
CENTRAL,Financial District/South Beach,11,49,-0.0823885384374334,0
CENTRAL,Financial District/South Beach,12,61,-0.02996800885010405,0
CENTRAL,Financial District/South Beach,13,46,-0.09549367083426574,0
CENTRAL,Financial District/South Beach,14,51,-0.07365178350621185,0
CENTRAL,Financial District/South Beach,15,35,-0.1435458229559843,0
CENTRAL,Financial District/South Beach,16,57,-0.04744151871254717,0
CENTRAL,Financial District/South Beach,17,36,-0.13917744549037353,0
CENTRAL,Financial District/South Beach,18,55,-0.05617827364376873,0
CENTRAL,Financial District/South Beach,19,18,-0.21780823987136755,0
CENTRAL,Financial District/South Beach,20,21,-0.2047031074745352,0
CENTRAL,Financial District/South Beach,21,18,-0.21780823987136755,0
CENTRAL,Financial District/South Beach,22,19,-0.21343986240575677,0
CENTRAL,Financial District/South Beach,23,18,-0.21780823987136755,0
CENTRAL,Nob Hill,0,2,-0.28770227932114,0
CENTRAL,Nob Hill,1,2,-0.28770227932114,0
CENTRAL,Nob Hill,2,1,-0.2920706567867508,0
CENTRAL,Nob Hill,3,1,-0.2920706567867508,0
CENTRAL,Nob Hill,4,3,-0.28333390185552926,0
CENTRAL,Nob Hill,5,1,-0.2920706567867508,0
CENTRAL,Nob Hill,6,2,-0.28770227932114,0
CENTRAL,Nob Hill,7,6,-0.2702287694586969,0
CENTRAL,Nob Hill,8,6,-0.2702287694586969,0
CENTRAL,Nob Hill,9,4,-0.27896552438991845,0
CENTRAL,Nob Hill,10,7,-0.26586039199308614,0
CENTRAL,Nob Hill,11,4,-0.27896552438991845,0
CENTRAL,Nob Hill,12,3,-0.28333390185552926,0
CENTRAL,Nob Hill,13,3,-0.28333390185552926,0
CENTRAL,Nob Hill,14,3,-0.28333390185552926,0
CENTRAL,Nob Hill,15,3,-0.28333390185552926,0
CENTRAL,Nob Hill,16,3,-0.28333390185552926,0
CENTRAL,Nob Hill,17,3,-0.28333390185552926,0
CENTRAL,Nob Hill,18,4,-0.27896552438991845,0
CENTRAL,Nob Hill,19,2,-0.28770227932114,0
CENTRAL,Nob Hill,20,4,-0.27896552438991845,0
CENTRAL,Nob Hill,21,3,-0.28333390185552926,0
CENTRAL,Nob Hill,22,4,-0.27896552438991845,0
CENTRAL,Nob Hill,23,7,-0.26586039199308614,0
CENTRAL,North Beach,0,2,-0.28770227932114,0
CENTRAL,North Beach,1,2,-0.28770227932114,0
CENTRAL,North Beach,2,1,-0.2920706567867508,0
CENTRAL,North Beach,3,1,-0.2920706567867508,0
CENTRAL,North Beach,5,1,-0.2920706567867508,0
CENTRAL,North Beach,6,1,-0.2920706567867508,0
CENTRAL,North Beach,7,2,-0.28770227932114,0
CENTRAL,North Beach,8,5,-0.2745971469243077,0
CENTRAL,North Beach,9,2,-0.28770227932114,0
CENTRAL,North Beach,10,6,-0.2702287694586969,0
CENTRAL,North Beach,11,6,-0.2702287694586969,0
CENTRAL,North Beach,12,7,-0.26586039199308614,0
CENTRAL,North Beach,13,8,-0.26149201452747534,0
CENTRAL,North Beach,14,4,-0.27896552438991845,0
CENTRAL,North Beach,15,5,-0.2745971469243077,0
CENTRAL,North Beach,16,7,-0.26586039199308614,0
CENTRAL,North Beach,17,5,-0.2745971469243077,0
CENTRAL,North Beach,18,4,-0.27896552438991845,0
CENTRAL,North Beach,19,6,-0.2702287694586969,0
CENTRAL,North Beach,20,2,-0.28770227932114,0
CENTRAL,North Beach,21,3,-0.28333390185552926,0
CENTRAL,North Beach,22,2,-0.28770227932114,0
CENTRAL,North Beach,23,1,-0.2920706567867508,0
CENTRAL,Russian Hill,0,31,-0.16101933281842742,0
CENTRAL,Russian Hill,1,21,-0.2047031074745352,0
CENTRAL,Russian Hill,2,28,-0.17412446521525976,0
CENTRAL,Russian Hill,3,18,-0.21780823987136755,0
CENTRAL,Russian Hill,4,13,-0.23965012719942144,0
CENTRAL,Russian Hill,5,14,-0.23528174973381066,0
CENTRAL,Russian Hill,6,28,-0.17412446521525976,0
CENTRAL,Russian Hill,7,82,0.06176791792772231,4
CENTRAL,Russian Hill,8,124,0.24523977148337503,4
CENTRAL,Russian Hill,9,116,0.2102927517584888,4
CENTRAL,Russian Hill,10,112,0.19281924189604568,4
CENTRAL,Russian Hill,11,143,0.3282389433299798,4
